,Rent,Rental_Type,Area,Elevator,Subway,Balcony,Floor_Type,Electricity,Heating,Renovation,Bedroom_num,Living_Room_num,Bathroom_num,Toward,Location,Maintenance_Date,Facility_Washing_Machine,Facility_Air_Conditioner,Facility_Wardrobe,Facility_TV,Facility_Refrigerator,Facility_Water_Heater,Facility_Bed,Facility_Natural_Gas,Facility_num
108,3300,1,100.87,1,0,0,3,0,0,1,3,2,1,19,240,2024/11/14,1,1,1,0,1,1,0,1,23
109,3330,1,115,1,1,0,1,0,0,1,3,2,2,19,33,2024/11/12,0,0,0,0,0,0,0,1,3
110,2800,1,120,0,0,0,2,0,0,1,3,2,2,19,1048,2024/11/13,1,1,1,0,1,1,1,1,22
111,2200,1,90,1,0,0,3,0,0,1,3,2,2,19,694,2024/11/15,1,1,1,1,1,1,0,1,23
112,3200,1,103,1,0,0,1,0,0,1,3,2,2,26,1389,2024/11/12,0,1,0,0,0,1,0,1,13
113,5000,1,129.4,1,1,0,2,0,0,1,4,2,2,19,1700,2024/11/14,1,1,1,1,1,1,1,1,31
114,1430,1,58,1,0,0,1,1,0,1,1,0,1,19,440,2024/11/14,0,0,1,0,0,0,0,0,2
115,10000,1,247.6,0,1,0,1,1,0,1,5,2,7,19,611,2024/11/15,1,1,1,1,1,1,1,0,21
116,1700,1,70,1,0,0,2,0,0,1,2,1,1,19,1153,2024/11/15,1,1,0,0,1,1,1,1,19
117,3800,1,146,1,1,0,1,0,0,1,3,2,2,19,867,2024/11/16,1,1,1,0,1,1,0,1,23
118,2400,1,111.86,0,0,0,2,0,0,1,3,2,1,19,1858,2024/11/15,1,1,1,1,1,1,0,1,23
119,3300,1,100.87,1,0,0,3,0,0,1,3,2,1,19,240,2024/11/14,1,1,1,0,1,1,0,1,23
120,2300,1,78,1,0,0,2,0,0,1,2,1,1,19,1153,2024/11/15,1,1,1,1,1,1,0,0,19
121,2300,1,78,1,0,0,2,0,0,1,2,1,1,19,1153,2024/11/15,1,1,1,1,1,1,0,0,19
122,3600,1,114,1,0,0,2,0,0,0,4,2,2,19,187,2024/11/13,0,1,1,0,0,1,1,0,11
123,3600,1,120,1,0,0,3,0,0,1,4,2,2,12,293,2024/11/16,0,1,0,0,0,1,0,0,6
124,3200,1,100,1,1,0,3,0,0,1,2,1,2,20,865,2024/11/13,1,1,1,0,1,1,1,1,22
125,4600,1,80,0,1,0,3,0,0,0,2,2,1,19,1190,2024/11/15,1,1,1,1,1,1,0,1,23
126,2246,1,77.8,1,0,0,3,0,0,0,2,2,1,19,1153,2024/11/12,1,1,1,1,1,1,1,1,25
127,2500,1,67.62,1,1,0,3,0,0,1,2,2,1,19,1700,2024/11/16,1,1,1,1,1,1,1,1,25
128,2000,1,89.25,1,0,0,3,0,0,1,3,2,2,19,1675,2024/11/15,1,1,1,0,1,1,1,0,18
129,4500,1,182.41,1,1,0,2,0,0,1,4,2,3,19,865,2024/11/15,1,1,1,1,1,1,0,1,23
130,3200,1,89.01,1,1,0,2,0,0,1,2,2,1,19,1700,2024/11/15,1,1,1,1,1,1,1,1,28
131,6500,1,161.06,1,1,0,1,0,0,1,4,2,2,19,865,2024/11/11,1,1,1,0,1,1,1,0,18
