,Rent,Rental_Type,Area,Elevator,Subway,Balcony,Floor_Type,Electricity,Heating,Renovation,Bedroom_num,Living_Room_num,Bathroom_num,Toward,Location,Maintenance_Date,Facility_Washing_Machine,Facility_Air_Conditioner,Facility_Wardrobe,Facility_TV,Facility_Refrigerator,Facility_Water_Heater,Facility_Bed,Facility_Natural_Gas,Facility_num
89,2330,0,11.9,0,1,0,2,0,0,1,3,1,1,21,1862,2024/11/14,1,1,1,0,1,1,1,1,25
90,5900,1,30,0,1,0,2,0,0,1,1,1,1,19,1105,2024/11/9,1,1,1,1,1,1,1,1,25
91,7800,1,53.71,1,1,0,1,0,0,1,1,1,1,34,747,2024/11/13,1,1,1,1,1,1,1,0,21
92,3299,1,34.68,0,0,0,3,0,0,0,1,0,1,21,589,2024/11/10,0,0,1,1,0,0,1,1,11
93,6500,1,66.11,1,1,0,3,0,0,1,1,1,1,21,3022,2024/11/12,1,1,1,0,1,1,1,1,22
94,1730,0,9.2,0,1,0,2,0,0,1,4,1,2,19,2563,2024/11/14,1,1,1,0,1,1,1,1,25
95,50000,1,171.85,1,1,0,2,0,0,1,3,2,3,21,481,2024/11/3,1,1,1,1,1,1,1,1,28
96,3300,1,41.65,0,0,0,3,0,0,0,1,1,1,21,627,2024/11/13,1,1,1,0,1,1,1,1,22
97,2460,0,9.96,1,1,0,1,0,0,1,3,1,1,19,2350,2024/11/14,1,1,1,0,1,1,1,1,25
98,5190,1,39,0,1,0,3,0,0,1,1,1,1,21,1122,2024/11/14,1,1,1,1,1,0,1,1,24
99,35000,1,205,1,1,0,3,0,0,0,4,2,2,21,324,2024/11/14,1,1,1,1,1,1,1,1,25
100,4390,0,17.8,1,1,0,2,0,0,1,4,1,2,21,2236,2024/11/13,1,1,1,0,1,1,1,1,25
101,50000,1,312.2,1,1,0,1,0,0,1,5,3,6,21,3143,2024/11/10,0,0,1,1,0,0,0,0,8
102,14000,1,153.79,0,0,0,3,0,0,1,3,2,2,21,1102,2024/11/7,1,1,1,1,1,1,1,1,25
103,2390,0,12.9,0,1,0,3,0,0,1,3,1,1,21,3009,2024/11/14,1,1,1,0,1,1,1,1,25
104,4960,1,36.46,0,1,0,2,0,0,1,1,1,1,21,1349,2024/11/13,1,1,1,1,1,1,1,1,28
105,13500,1,134.6,1,1,0,1,0,0,0,3,2,2,3,916,2024/11/14,1,1,1,1,1,1,1,1,31
106,8500,1,50.96,1,1,0,2,0,1,1,1,1,1,34,3205,2024/11/14,1,1,1,1,1,1,1,0,21
107,10400,1,56.98,1,1,0,2,0,0,1,1,1,1,21,324,2024/11/14,1,1,1,0,1,1,1,1,28
108,2760,0,13,0,1,0,2,0,0,1,3,1,1,19,2456,2024/11/13,1,1,1,0,1,1,1,1,25
109,38000,1,307,1,1,0,2,0,0,1,5,2,4,12,71,2024/11/10,1,1,1,1,1,1,1,1,31
110,22500,1,155.43,1,1,0,2,0,0,1,3,2,2,21,3129,2024/11/11,1,1,0,0,1,1,0,0,13
111,4060,1,35.98,0,0,0,2,0,0,1,1,1,1,21,629,2024/11/14,1,1,1,1,1,1,1,1,28
112,15500,1,158.96,1,1,0,1,1,0,1,3,2,2,4,1375,2024/11/14,1,1,1,1,1,1,1,1,31
113,6000,1,26.34,0,1,0,1,0,0,1,1,1,1,21,1430,2024/11/14,1,1,1,1,1,1,1,1,28
114,11500,1,48.89,1,1,0,2,0,0,1,1,0,1,30,318,2024/11/8,1,1,0,1,1,1,1,1,28
115,4360,1,39.19,0,1,0,3,0,0,1,1,1,1,21,1243,2024/11/13,1,1,1,1,1,1,1,1,28
116,28000,1,192.13,1,1,0,2,0,0,1,4,2,2,5,3129,2024/11/11,1,1,1,1,1,1,1,1,31
117,36000,1,178.36,1,1,0,2,0,0,1,4,2,3,21,3140,2024/11/7,1,1,1,0,1,0,1,1,18
118,3600,1,44.79,0,0,0,2,0,0,1,1,1,1,21,1862,2024/11/13,1,1,1,1,1,1,1,0,24
119,4300,1,43.71,0,1,0,1,0,0,0,1,1,1,21,887,2024/11/12,1,1,1,1,1,1,1,1,25
120,5000,1,43.13,1,1,0,1,0,0,1,1,1,1,21,2661,2024/11/12,1,1,1,1,1,1,1,1,31
121,4500,1,29.9,0,1,0,1,0,0,0,1,1,1,21,1319,2024/11/8,1,1,1,1,1,1,1,1,25
122,3900,1,37.19,0,1,0,3,0,0,1,1,1,1,21,1350,2024/11/12,1,1,1,1,1,1,1,1,25
123,5000,1,48.11,0,1,0,3,0,0,0,1,1,1,21,1071,2024/11/11,1,1,1,0,1,1,0,1,20
124,17000,1,143.76,1,1,0,1,0,0,1,3,2,2,23,898,2024/11/12,1,1,1,1,1,1,1,1,25
125,11000,1,82.96,1,1,0,3,0,0,1,1,2,1,21,512,2024/11/6,1,1,1,1,1,1,1,1,25
126,16800,1,135.74,1,1,0,3,0,0,0,3,2,2,23,1169,2024/11/11,1,1,1,1,1,1,1,0,21
127,2490,0,13.9,1,0,0,2,0,0,1,4,1,2,21,3091,2024/11/14,1,1,1,0,1,1,1,1,25
128,4300,1,41.13,1,1,0,3,0,0,1,1,1,1,21,3288,2024/11/11,1,1,1,1,1,1,0,1,26
129,7200,1,47.14,1,1,0,1,0,0,1,1,2,1,21,271,2024/11/13,1,1,1,1,1,1,1,1,25
130,3600,1,50.35,0,0,0,3,0,0,0,1,1,1,21,1310,2024/11/9,1,1,1,0,1,1,1,1,22
131,19000,1,117.83,1,1,0,3,0,0,1,3,2,2,21,2948,2024/11/9,1,1,1,1,1,1,1,1,31
132,12000,1,193.51,0,1,0,3,0,0,0,4,2,2,21,1861,2024/11/13,1,1,1,1,1,1,1,1,25
133,5750,1,42.78,1,1,0,2,1,0,1,1,1,1,0,2426,2024/11/14,1,1,0,1,1,1,1,0,21
134,5400,1,33.23,0,1,0,3,0,0,1,1,1,1,21,2747,2024/11/12,1,1,1,0,1,1,1,1,22
135,8500,1,63.33,1,1,0,2,0,0,0,1,1,1,14,1169,2024/11/5,1,1,1,1,1,1,0,1,26
136,3100,1,44.17,1,0,0,2,0,0,0,1,1,1,21,627,2024/11/14,1,1,1,1,1,1,0,1,23
137,16600,1,72.48,1,1,0,1,0,0,1,1,2,1,21,3140,2024/11/12,1,1,1,1,1,1,1,1,28
138,10000,1,118.72,0,0,0,3,0,0,0,3,2,1,23,1811,2024/10/30,1,1,1,1,1,0,1,1,21
139,6500,1,54.85,1,1,0,2,0,0,1,1,1,1,21,839,2024/11/12,1,1,1,1,1,1,0,0,22
140,33000,1,265,1,1,0,1,0,0,0,4,3,3,26,71,2024/11/10,0,1,1,1,1,1,1,1,24
141,15000,1,79.65,1,1,0,2,0,0,1,1,2,1,21,970,2024/11/13,1,1,1,1,1,1,1,1,28
142,7900,1,38.64,0,1,0,3,0,0,1,1,1,1,21,2075,2024/11/14,1,1,1,1,1,1,1,1,31
143,3900,1,44.07,0,0,0,3,0,0,0,1,1,1,23,1860,2024/11/8,1,1,1,1,1,1,0,1,23
144,3100,1,38.62,0,1,0,3,0,0,0,1,1,1,21,1350,2024/11/14,1,1,1,0,1,1,0,1,20
145,35000,1,173.84,1,1,0,3,0,1,1,3,2,3,23,693,2024/11/1,0,1,0,0,1,0,0,0,5
146,13000,1,71.14,1,1,0,1,0,1,1,1,1,1,21,324,2024/11/14,1,1,1,1,1,1,1,1,31
147,6200,1,40.13,1,1,0,2,0,1,1,1,1,1,19,3205,2024/11/14,1,1,1,1,1,1,1,0,21
148,6800,1,54.69,1,1,0,3,0,0,1,1,1,1,19,839,2024/11/5,1,1,1,1,1,1,1,0,27
149,8000,1,49.04,1,1,0,2,0,1,1,1,1,1,21,3205,2024/11/9,1,1,1,1,1,1,1,1,31
150,4400,1,35,0,1,0,2,0,1,0,1,1,1,21,326,2024/11/6,1,1,1,1,1,1,1,1,25
151,5400,1,39.69,1,1,0,2,1,1,1,1,1,1,21,2499,2024/11/8,0,1,1,0,1,1,1,0,14
152,13000,1,62.8,1,0,0,3,0,1,1,1,2,1,21,1693,2024/11/12,1,1,1,1,1,1,1,1,28
153,28000,1,201.57,0,1,0,3,0,0,1,4,3,3,21,771,2024/11/13,1,1,1,1,1,1,1,1,31
154,21000,1,118,1,1,0,1,0,1,1,3,2,2,23,1072,2024/11/7,1,1,1,1,1,1,1,1,31
155,9300,1,70.56,1,1,0,3,0,0,1,1,2,1,21,1434,2024/11/9,1,1,1,1,1,1,0,1,23
156,9000,1,64.29,1,1,0,3,0,0,1,1,2,1,21,2477,2024/11/6,1,1,1,1,1,1,1,1,28
157,3300,1,27.83,0,0,0,3,0,0,0,1,0,1,21,3099,2024/11/14,1,1,1,1,1,1,1,0,21
158,4500,1,46.38,1,1,0,1,0,0,1,1,1,1,21,3289,2024/11/13,1,1,1,1,1,1,0,1,23
159,4200,1,42.17,0,0,0,1,0,0,1,1,1,1,21,3099,2024/11/14,1,1,1,1,1,1,1,1,25
160,7950,1,51.85,1,1,0,3,0,0,1,1,1,1,21,3139,2024/11/9,1,1,1,1,1,1,1,0,24
161,16000,1,130.5,1,1,0,2,0,0,1,3,2,2,21,2481,2024/11/9,1,1,1,0,1,1,1,1,22
162,22000,1,190.58,1,1,0,2,0,0,1,4,2,3,23,1803,2024/11/13,1,1,1,1,1,1,1,1,28
163,6200,1,46.77,1,1,0,3,0,0,1,1,1,1,21,3289,2024/11/11,1,1,1,1,1,1,1,1,25
164,6500,1,46.31,1,1,0,2,1,1,1,1,0,1,21,2499,2024/11/8,1,1,1,1,1,1,0,1,29
165,45000,1,147.7,1,1,0,3,0,0,1,3,2,3,21,481,2024/10/29,1,1,1,1,1,1,0,1,26
166,18500,1,119.13,1,1,0,1,1,0,1,3,2,2,21,916,2024/11/13,1,1,0,1,1,1,1,1,28
167,45000,1,227.57,1,1,0,1,0,0,1,4,2,3,21,397,2024/11/1,0,1,0,0,1,0,0,0,5
168,12999,1,95,1,1,0,3,0,0,1,3,1,1,21,2782,2024/11/11,1,1,1,1,1,1,0,0,22
169,22500,1,155,1,1,0,2,0,0,0,3,2,2,21,3129,2024/11/13,1,1,1,1,1,1,1,0,21
170,3600,1,43.13,0,0,0,3,0,0,1,1,1,1,21,435,2024/11/11,1,1,1,0,1,1,1,1,22
171,5800,1,51.18,1,1,0,1,0,0,1,1,1,1,21,2021,2024/11/14,0,1,0,1,0,1,0,1,13
172,30500,1,201.29,1,1,0,2,0,0,1,4,2,2,21,324,2024/11/13,1,1,1,1,1,1,0,1,29
173,26500,1,155.43,1,1,0,2,0,0,1,3,2,2,21,3129,2024/11/13,1,1,1,1,1,1,1,1,31
174,25500,1,147.49,1,1,0,3,0,0,1,3,2,2,21,3129,2024/11/13,1,1,1,1,1,1,1,1,31
175,39800,1,248,1,1,0,3,0,1,1,5,3,2,21,1693,2024/11/13,1,1,1,1,1,1,1,1,31
176,19000,1,185,1,1,0,1,0,0,0,3,2,2,21,1434,2024/11/13,1,1,1,1,1,1,1,1,25
177,10500,1,69.03,1,1,0,3,0,0,1,1,2,1,21,741,2024/11/13,1,1,1,1,1,1,0,0,19
178,8200,1,77.63,1,1,0,2,0,0,1,1,2,1,21,1879,2024/11/13,1,1,1,1,1,1,1,1,28
179,4500,1,45.94,1,1,0,1,0,0,0,1,1,1,21,3289,2024/11/14,0,1,0,1,0,0,1,0,7
180,6000,1,45.54,1,1,0,3,0,0,1,1,1,1,21,1130,2024/11/14,1,1,1,0,1,1,1,1,22
181,28500,1,192.13,1,1,0,1,0,0,1,4,2,2,21,3129,2024/11/13,1,1,0,0,1,0,0,0,9
182,8800,1,88.34,1,1,0,2,0,0,1,3,1,1,21,1434,2024/11/14,1,1,1,1,1,1,1,1,31
183,33500,1,124,0,1,0,1,0,0,1,3,2,2,21,1105,2024/11/14,1,1,1,1,1,1,0,1,29
184,7000,1,52.11,1,1,0,3,0,0,1,1,1,1,21,789,2024/11/13,1,1,1,1,1,1,0,1,26
185,15800,1,121,1,0,0,2,0,0,1,3,2,2,21,1070,2024/11/14,1,1,1,1,1,1,0,1,23
186,7000,1,63.79,1,1,0,2,0,0,1,1,1,1,21,3093,2024/11/11,1,1,1,1,1,1,1,1,25
187,12500,1,62.34,1,1,0,1,0,0,1,1,2,1,21,324,2024/11/13,1,1,1,1,1,1,0,1,29
188,7500,1,46.38,0,0,0,2,0,0,0,1,1,1,21,3142,2024/11/7,1,1,1,0,1,1,0,1,23
189,3000,1,26.49,0,0,0,1,0,0,1,1,1,1,21,1283,2024/11/10,1,1,0,0,1,1,1,1,19
190,3100,1,29.84,0,1,0,3,0,0,0,1,1,1,19,1970,2024/11/11,1,1,1,0,1,1,0,0,16
191,3800,1,37.5,0,1,0,2,0,0,0,1,1,1,21,1350,2024/11/13,1,1,1,1,1,1,0,1,23
192,22000,1,173.81,1,1,0,2,0,0,1,3,2,2,21,126,2024/11/10,1,1,1,1,1,1,1,1,28
193,4800,1,56.87,1,0,0,3,0,0,1,1,1,1,21,896,2024/11/14,1,1,0,0,1,1,0,0,13
194,13000,1,120.06,1,0,0,1,0,0,1,3,2,2,21,1434,2024/11/11,1,1,1,0,1,1,1,1,22
195,8800,1,57.9,1,1,0,2,0,0,1,1,1,1,21,2783,2024/11/13,1,1,0,0,1,1,0,0,13
196,18000,1,110.96,1,1,0,1,0,0,1,3,2,2,21,5,2024/11/13,1,1,1,1,1,1,1,1,31
197,7400,1,52.88,1,1,0,3,0,0,1,1,1,1,21,2531,2024/11/14,1,1,1,1,1,1,1,1,25
198,20000,1,158,1,1,0,1,0,0,1,3,2,2,23,3131,2024/11/13,1,1,1,1,1,1,0,1,26
199,3460,0,16.94,0,1,1,3,0,0,1,2,1,1,21,1122,2024/11/14,1,1,1,0,1,1,1,1,25
200,6800,1,72.15,1,1,0,2,0,0,1,2,1,1,21,1288,2024/11/14,1,1,1,0,1,0,1,1,18
201,6800,1,61.21,1,0,0,2,0,0,1,2,1,1,21,1865,2024/11/11,1,1,1,0,1,1,1,1,28
202,4450,1,46.2,0,1,0,2,0,0,1,2,0,1,21,1741,2024/11/5,1,1,1,0,1,1,0,0,19
203,4800,1,73.17,1,0,0,3,0,0,1,2,1,1,21,3099,2024/11/13,1,1,1,1,1,1,1,1,25
204,9500,1,88.42,1,1,0,1,0,0,1,2,2,1,21,1434,2024/11/13,1,1,1,1,1,1,1,1,25
205,5000,1,55.81,0,0,0,3,0,0,1,2,1,1,21,1275,2024/11/13,1,1,1,1,1,1,1,1,25
206,28000,1,134.96,1,1,0,2,0,0,1,2,2,2,21,2789,2024/11/14,1,1,1,1,1,1,1,1,28
207,21000,1,112.48,1,1,0,3,0,0,1,2,2,2,21,3140,2024/11/7,0,0,1,0,0,0,1,1,8
208,13000,1,91.41,1,1,0,3,0,0,1,2,1,1,21,741,2024/11/6,1,1,1,1,1,1,1,1,25
209,4680,1,76,1,0,0,1,0,0,0,2,1,1,21,896,2024/11/10,0,1,0,0,0,1,0,0,6
210,11000,1,77.45,1,1,0,3,1,0,1,2,1,1,21,783,2024/11/14,1,1,0,0,1,1,0,0,13
211,5600,1,65.11,0,0,0,3,0,0,1,2,1,1,21,1290,2024/11/9,1,1,1,1,1,1,1,1,25
212,13000,1,92.06,1,1,0,1,0,0,1,2,2,1,21,741,2024/11/13,1,1,1,1,1,1,1,0,27
213,4800,1,78,0,0,0,3,0,0,1,2,1,1,21,433,2024/11/11,1,1,1,1,1,1,1,1,25
214,5300,1,57.75,0,0,0,2,0,0,1,2,1,1,21,636,2024/11/3,1,1,0,1,1,1,1,1,22
215,17500,1,83.25,1,1,0,1,0,0,1,2,2,1,23,2948,2024/11/12,1,1,1,1,1,1,1,1,25
216,4700,1,42.6,0,0,0,2,0,0,1,2,1,1,21,3098,2024/11/10,1,1,1,1,1,1,1,1,25
217,9500,1,48.81,1,0,0,3,0,0,1,2,1,1,21,3137,2024/11/14,1,1,1,1,1,1,1,1,31
218,7500,1,87.85,0,1,0,3,0,0,0,2,2,2,23,1881,2024/11/14,1,1,0,0,1,1,1,1,19
