,Rent,Rental_Type,Area,Elevator,Subway,Balcony,Floor_Type,Electricity,Heating,Renovation,Bedroom_num,Living_Room_num,Bathroom_num,Toward,Location,Maintenance_Date,Facility_Washing_Machine,Facility_Air_Conditioner,Facility_Wardrobe,Facility_TV,Facility_Refrigerator,Facility_Water_Heater,Facility_Bed,Facility_Natural_Gas,Facility_num
131,6200,1,89.51,0,0,0,2,0,1,1,3,1,1,16,1241,2024/11/4,1,1,1,0,1,1,1,1,28
132,14500,1,146.92,1,1,0,3,0,1,1,3,2,2,16,45,2024/11/10,1,1,1,0,1,1,1,1,25
133,2890,0,14.1,1,1,0,2,0,1,1,0,0,0,15,907,2024/11/10,1,1,1,0,1,1,1,1,28
134,6560,1,78.89,1,1,0,3,0,1,1,2,1,1,23,966,2024/11/10,1,1,1,1,1,1,1,1,31
135,10500,1,89,1,1,0,2,0,1,1,2,1,1,16,762,2024/11/7,1,1,1,0,1,1,1,1,25
136,2900,1,67,0,0,0,3,0,1,1,2,1,1,16,70,2024/11/6,1,1,1,1,1,1,1,1,28
137,2330,0,10.9,1,1,0,3,0,1,1,0,0,0,14,713,2024/11/10,1,1,1,1,1,1,1,1,31
138,4490,0,35.42,0,0,1,2,0,0,1,0,0,0,15,146,2024/11/10,1,1,1,1,1,1,1,1,28
139,2190,0,12.86,1,1,0,1,0,1,1,0,0,0,23,247,2024/11/10,1,1,1,0,1,1,1,1,28
140,5960,1,48,1,0,0,2,0,1,1,1,1,1,0,414,2024/11/8,1,1,1,1,1,0,1,1,27
141,8450,1,199.43,1,0,0,1,0,1,1,3,2,3,16,831,2024/11/9,1,1,0,0,1,1,1,1,22
142,2599,0,25,1,1,1,2,0,1,1,0,0,0,15,962,2024/11/10,1,1,1,1,1,1,1,1,31
143,2660,0,13.8,0,0,0,3,0,1,1,0,0,0,23,1080,2024/11/10,1,1,1,0,1,0,1,1,24
144,6290,1,88.57,1,1,0,3,0,1,1,2,1,1,14,572,2024/11/10,1,1,1,0,1,0,1,1,24
145,3490,1,49.3,1,0,0,3,0,1,1,1,1,1,14,751,2024/11/10,1,1,1,1,1,1,1,1,31
146,32000,1,196.91,1,0,0,2,0,1,1,4,2,3,16,669,2024/10/26,1,1,1,0,1,1,1,1,28
147,7600,1,108,1,1,0,2,0,1,0,3,1,1,10,965,2024/11/7,1,1,1,0,1,1,1,1,25
148,2290,0,9.7,0,1,0,3,0,1,1,0,0,0,14,1094,2024/11/7,1,1,1,1,1,1,1,1,31
149,3300,1,48.02,0,0,1,2,0,1,1,1,1,1,0,481,2024/11/10,1,1,1,0,1,1,1,1,25
150,3923,1,46.6,0,1,0,3,0,1,1,2,1,1,23,325,2024/11/10,1,1,1,1,1,1,1,1,31
151,39999,1,374,0,0,0,0,0,0,1,5,3,4,16,1290,2024/11/9,0,0,0,0,0,0,0,1,9
152,3260,0,14,0,1,0,2,0,1,1,0,0,0,0,386,2024/11/10,1,1,1,0,1,1,1,1,28
153,2460,0,11.8,1,0,0,2,0,1,1,0,0,0,15,872,2024/11/10,1,1,1,1,1,0,1,1,27
154,3160,0,14.03,1,1,1,3,0,1,1,0,0,0,0,711,2024/11/10,1,1,1,0,1,1,1,1,28
155,4030,1,43.25,1,1,0,2,0,1,1,1,1,1,14,619,2024/11/10,1,1,1,1,1,1,1,1,31
156,10500,1,132,1,0,0,1,0,0,1,3,2,2,15,829,2024/11/7,1,1,1,1,1,1,1,0,24
157,1998,0,17.1,1,0,0,3,0,0,1,0,0,0,15,1257,2024/11/10,1,1,1,0,1,1,1,1,25
158,7260,1,60.76,1,0,0,1,0,1,1,1,1,1,0,832,2024/11/7,1,1,1,1,1,1,1,1,31
159,1900,1,88.7,0,0,0,3,0,1,1,2,2,1,16,742,2024/11/8,1,1,1,1,1,1,1,1,28
160,2400,1,89.98,0,0,0,2,0,1,1,2,1,1,16,196,2024/11/6,0,0,0,0,0,0,1,0,1
161,2530,0,8.4,1,0,0,2,0,1,1,0,0,0,15,1095,2024/11/10,1,1,1,0,1,1,1,1,28
162,14000,1,115,1,1,0,2,0,1,1,2,1,1,10,21,2024/11/8,1,1,1,1,1,1,1,1,28
163,3490,0,15.41,1,1,0,1,0,1,1,0,0,0,14,468,2024/11/9,1,1,1,0,1,1,1,1,28
164,2790,0,12.6,1,0,0,3,0,1,1,0,0,0,15,932,2024/11/10,1,1,1,0,1,1,1,1,28
165,2190,0,12.9,1,1,0,2,0,1,1,0,0,0,26,248,2024/11/10,1,1,1,0,1,1,1,1,28
166,16000,1,230,1,0,0,1,0,0,1,1,2,2,4,822,2024/11/7,1,1,1,1,1,1,1,1,25
167,8330,1,85.61,1,1,0,1,0,1,1,1,1,1,14,1072,2024/11/10,1,1,1,1,1,0,1,1,27
168,25000,1,168,1,1,0,1,0,1,1,4,2,3,16,190,2024/11/10,1,1,1,1,1,1,1,1,31
169,8290,1,53.61,1,1,0,2,0,1,1,1,1,1,0,201,2024/11/6,1,1,1,0,1,0,1,1,24
170,3390,0,12.49,1,1,1,1,0,1,1,0,0,0,23,295,2024/11/10,1,1,1,0,1,1,1,1,28
171,6295,1,58.28,0,0,0,3,0,1,1,2,1,1,15,991,2024/11/10,1,1,1,1,1,1,1,1,31
172,1730,0,10,1,0,0,1,0,1,1,0,0,0,14,184,2024/11/10,1,1,1,1,1,0,1,1,27
173,7530,1,73.57,0,1,0,2,0,1,1,2,1,1,15,321,2024/11/10,1,1,1,0,1,1,1,1,28
174,1830,0,10.17,1,0,1,1,0,1,1,0,0,0,0,1234,2024/11/10,1,1,1,0,1,0,1,1,24
175,23500,1,166.21,1,0,0,2,0,0,1,3,2,2,16,781,2024/11/9,1,1,1,0,1,1,0,1,26
176,3191,0,15,1,1,0,1,0,1,1,0,0,0,0,334,2024/11/10,1,1,1,0,1,1,1,1,28
177,6590,1,65.9,1,1,0,2,0,1,1,1,1,1,0,713,2024/11/10,1,1,1,0,1,1,1,1,28
178,6600,1,150,0,0,0,1,0,0,1,3,1,2,16,347,2024/10/16,1,1,1,1,1,1,1,1,31
179,2630,0,9.2,1,0,0,3,0,1,1,0,0,0,14,837,2024/11/7,1,1,1,0,1,0,1,1,24
180,6159,1,57.19,0,1,0,3,0,1,1,2,1,1,15,784,2024/11/10,1,1,1,0,1,1,1,1,28
181,3500,1,75.48,0,1,0,1,0,1,0,2,1,1,16,289,2024/11/9,1,1,1,0,1,1,1,1,25
182,7500,1,176.46,0,0,0,2,0,1,1,4,2,2,16,532,2024/11/9,1,1,1,1,1,1,1,1,31
183,3100,1,75,0,1,0,1,0,1,0,2,1,1,16,524,2024/10/21,1,1,1,1,1,1,1,1,28
184,6500,1,100,1,0,0,3,0,0,1,2,2,1,15,1264,2024/10/29,1,1,1,1,1,1,1,1,28
185,2590,0,17.09,1,0,1,3,0,1,1,0,0,0,15,690,2024/11/7,1,1,1,0,1,1,1,1,28
186,5660,1,87.31,1,0,0,3,0,1,1,2,1,1,15,528,2024/11/10,1,1,1,0,1,0,1,1,24
187,6600,1,132.89,0,1,0,1,0,1,1,3,2,2,16,999,2024/10/28,1,1,1,1,1,1,1,1,28
188,4390,0,17.08,0,0,0,2,0,1,1,0,0,0,15,1150,2024/11/6,1,1,1,0,1,1,1,1,28
189,3330,0,13,1,1,1,1,0,1,1,0,0,0,0,559,2024/11/7,1,1,1,0,1,1,1,1,28
190,3909,0,14.6,1,0,0,2,0,1,1,0,0,0,15,1226,2024/11/10,1,1,1,0,1,1,1,1,28
191,1833,0,10,1,0,0,2,0,1,1,0,0,0,15,1138,2024/11/10,1,1,1,0,1,1,1,1,28
192,6500,1,55.74,1,1,0,1,0,0,1,1,0,1,14,367,2024/11/8,1,1,1,1,1,0,1,1,21
193,28000,1,310,1,0,0,1,0,0,1,4,3,3,16,1296,2024/11/9,1,1,1,1,1,1,1,1,28
194,3290,0,12.7,1,1,0,1,0,1,1,0,0,0,0,1027,2024/11/10,1,1,1,0,1,1,1,1,28
195,5600,1,76.74,0,1,0,3,0,1,0,3,1,1,16,1023,2024/11/9,0,1,1,1,1,1,1,1,24
196,6600,1,67,1,1,0,1,0,1,1,1,1,1,0,405,2024/11/9,1,1,1,1,1,1,1,1,31
197,3830,0,11.4,1,1,1,1,0,1,1,0,0,0,26,928,2024/11/10,1,1,1,1,1,1,1,1,31
198,2430,0,10,1,0,0,3,0,1,1,0,0,0,15,725,2024/11/10,1,1,1,0,1,1,1,1,28
199,5760,1,48.27,1,1,0,2,0,1,1,1,1,1,15,502,2024/11/7,1,1,1,0,1,1,1,1,28
200,3060,0,15.5,1,1,1,2,0,1,1,0,0,0,14,275,2024/11/10,1,1,1,1,1,1,1,1,31
201,7900,1,80.41,0,1,0,2,0,1,1,2,2,1,16,1251,2024/11/10,1,1,1,1,1,1,1,1,28
202,6707,1,62,0,1,0,1,0,1,1,2,1,1,15,382,2024/11/10,1,1,1,1,1,1,1,1,31
203,2330,0,8.3,1,0,0,3,0,1,1,0,0,0,14,48,2024/11/10,1,1,1,0,1,1,1,1,28
204,19800,1,88.16,1,0,0,3,0,1,1,1,1,1,25,622,2024/11/1,1,1,1,1,1,1,1,1,28
205,6530,1,81.8,1,1,0,3,0,1,1,1,1,1,23,838,2024/11/10,1,1,1,1,1,1,1,1,31
206,6560,1,44.46,1,1,0,3,0,0,1,1,1,1,15,570,2024/11/10,1,1,1,1,1,0,1,1,24
207,50000,1,209,1,1,0,3,0,1,1,3,2,2,14,297,2024/11/6,1,1,1,0,1,0,1,1,18
208,2730,0,11,1,1,0,1,0,1,1,0,0,0,15,842,2024/11/10,1,1,1,0,1,1,1,1,28
209,6700,1,58.66,1,1,0,3,0,0,1,1,1,1,23,678,2024/11/4,1,1,1,1,1,1,1,1,28
210,4300,1,88,1,0,0,1,0,1,0,2,1,1,16,341,2024/11/2,1,1,1,0,1,1,1,1,25
211,6100,1,67,0,0,0,3,0,0,1,1,1,1,16,1046,2024/10/30,1,1,1,0,1,1,1,1,25
212,2192,0,7.8,0,0,0,1,0,1,1,0,0,0,15,322,2024/11/10,1,1,1,0,1,1,1,1,28
213,14000,1,133,1,0,0,3,0,1,1,3,2,2,16,155,2024/11/1,0,0,0,0,1,1,0,1,13
214,7200,1,65.15,1,1,0,1,0,1,1,1,1,1,9,456,2024/11/4,1,1,1,1,1,1,1,1,28
215,3390,0,13.2,1,1,0,1,0,1,1,0,0,0,10,847,2024/11/10,1,1,1,0,1,1,1,1,28
216,2700,1,48.08,1,0,0,1,0,1,0,1,0,1,15,980,2024/11/10,1,1,1,0,1,1,1,1,25
217,8500,1,88.04,1,1,0,2,0,1,1,3,1,1,26,513,2024/11/9,1,1,1,1,1,1,1,1,28
218,3300,1,79.97,0,0,0,3,0,1,0,2,1,1,6,264,2024/11/9,0,1,1,0,1,1,1,1,21
219,2730,1,38.02,1,0,0,1,1,1,1,1,1,1,14,62,2024/11/7,1,1,1,1,1,1,1,1,31
220,6790,1,45.87,1,1,0,2,0,0,1,1,1,1,0,199,2024/11/9,1,1,1,0,1,1,1,1,25
221,10500,1,59.43,0,1,0,1,0,1,1,3,1,1,6,67,2024/11/9,0,1,1,0,1,1,1,1,21
222,4800,1,53.56,0,0,1,3,0,1,0,2,1,1,16,992,2024/11/5,1,1,1,1,1,1,1,1,31
